Polarity,Subjectivity,Sentence
-1.0,1.0,in this case ignorance is not the worst problem either
-1.0,1.0,farrukhlaqa asks why if this woman is insane has she not been taken to an asylum
-1.0,1.0,we are in a war against evil
-1.0,1.0,the records of that terrible war are not classiﬁed information
-1.0,1.0, i drove people insane with questions i am told
-1.0,1.0,something terrible is happening in this country i can smell it in the air and it smells of blood and disaster
-1.0,1.0,we have to protect islam gods law and gods people from the evil forces that are at work against them
-1.0,1.0,i had tried to accept my situation and to understand him but i couldnt pretend i didnt know about the horrible things he had done
-1.0,1.0,youve been up for two days this is insane
-1.0,1.0,at the ceremony the scent of jasmine casablanca lilies dahlias and gardenias at the sofreh mingled with the odor of esfand seeds burned to ward o the evil eye
